First Name,Last Name,Designation,Company,Country
Carlos ,Alberto Sicupira,Partner / Major Shareholder,AB InBev; 3G Capital,Brazil
Tercio,Ambipar,CEO and Co-Founder,Ambipar Group,Brazil
Tiago,Andrade,"Senior Vice President, Head of PE / Growth LatAm",Partners Group,Brazil
Joesley,Batista,Major Shareholder & Board Member / Director,JBS S.A.,Brazil
Wesley,Batista,Founder,JBS S.A.,Brazil
Otto,Baumgart,Presidente do conselho administrativo,Grupo Baumgart,Brazil
Alexandre,Behring,Managing partner,3G Capital,Brazil
Bobby,Betenson,Owner,Matueté Expeditions,Brazil
Maurizio,Billi,Founder & Chairman,Eurofarma,Brazil
Rui,Brandao,CEO,Zenklub,Brazil
Pedro,Bueno,Vice-Presidente Executivo do Conselho,Dasa,Brazil
Antonio,Camarotti,Founder,Forbes Brasil,Brazil
Sergio,Carneiro,Executive Director - Private Equity,Mubadala Capital,Brazil
Bruno,Costa,Sporting Director - Diretor Executivo de Futebol,Fortaleza Esporte Clube,Brazil
Alberto,Duran,Vice President,Gerdau SA,Brazil
Andre,Esteves,Senior Partner & Chairman,BTG Pactual,Brazil
Ruben,Feffer,CEO,Suzano,Brazil
Sofia,G. Cesar,Partner,NAMU MATCHA,Brazil
Eduardo ,G. Küpper,Founding Partner,Airborne Ventures,Brazil
Paula Drumond,Guedes,CEO and Founder,Jobzi,Brazil
Max Van Hoegaerden ,Herrmann Telles,Co-founder,3G Capital,Brazil
Luciano,Huck,TV Host & Entrepreneur; Founder; Presenter of “Domingão com Huck” on TV Globol,Globo TV / Joá Investments / Instituto Criar,Brazil
Angelica,Huck,TV host,Clube da Criança,Brazil
Juliano,Itabaiana,Presidente,Villa verde s/a,Brazil
Miguel,Krigsner,Founder,O Boticário,Brazil
Jorge Paulo ,Lemann,Co-Founder,3G Capital,Brazil
Robert,M.Mangels,Chairman of the Board,Mangels Industrial S.A.,Brazil
Luis Felipe,Magon,Co-Founder and Managing Partner,Supera Capital,Brazil
Rachel,Maia,Presidente do conselho administrativo,Pacto Global - Rede Brasil,Brazil
Ricardo,Marino,Chairman,Itau Latam,Brazil
Eduardo ,Melzer,Chairman & CEO,EB Capital,Brazil
Denis ,Mizne,CEO,Lemann Foundation,Brazil
Jorge ,Moll Filho,Founder, Rede D'Or Sao Luiz SA,Brazil
Pedro,Moreira Salles,Chairman of Itaú Unibanco; co-president of Cambuhy; major stakeholder in CBMM,Itaú Unibanco; CBMM; Cambuhy,Brazil
Joao,Moreira Salles,Founder & Documentary Filmmaker / Investment Manager,Videofilmes / BW Gestão de Investimentos,Brazil
Walther,Moreira Salles Junior,Heir & Filmmaker,Itaú Unibanco / CBMM (family holdings),Brazil
Fernando Roberto,Moreira Salles,Founder,Grupo Boticário,Brazil
Breno,Nakai,Director,Mubadala Capital,Brazil
Felipe,Nobre,Chief Executive Officer,JERA,Brazil
Marcello,Palazzi,Co-Founder & Executive Chair,For Good Leaders,Brazil
Patrick,Panero,"Co-Founder, President & CEO",4B Mining Corp,Brazil
Flavio,Passos,VP Autos & Goods,Grupo OLX,Brazil
Antonio,Poncioni Merian,CdP,apm,Brazil
Vicky,Safra,,Safra family,Brazil
Jacob,Safra,Chairman,"J. Safra Sarasin, Safra National Bank of New York",Brazil
Eduardo,Saverin,"Co-Founder, Venture Capitalist (Forbes)",Meta Platforms / B Capital,Brazil
Veronica,Serra,Founding Partner,Pacific Investimentos & Innova Capital,Brazil
Paulo De Souza E,Silva,Member Board of Directors,Rolls-Royce Holdings plc,Brazil
Virgilio,Viana,Director General,Amazonas Sustainability Foundation (FAS),Brazil
Ana Lucia,Villela,President,Instituto Alana,Brazil
Rodrigo,Xavier,Senior Partner,YvY Capital,Brazil
Soegiarto,Adikoesoemo,President Commissioner,PT AKR Corporindo Tbk,Indonesia
Husodo,Angkosubroto,Chairman,PT Gunung Sewu Kencana,Indonesia
Rozan,Anwar,Commissioner,DAYA DIMENSI,Indonesia
Anindya,Bakrie,CEO,BNBR,Indonesia
Kiki,Barki,Founder & President Commissioner,PT Harum Energy Tbk,Indonesia
Marina,Budiman,Co-Founder & President Commissioner,PT DCI Indonesia Tbk,Indonesia
Soeryadjaya,Edwin,President Commissioner,PT Saratoga Investama Segaya Tbk.,Indonesia
Wirastuty,Fangiono,Major Shareholder & Director,First Resources Ltd / PT FAP Agri Tbk,Indonesia
Han Arming,Hanafia,Co-Founder & Shareholder,PT DCI Indonesia Tbk,Indonesia
Robert Budi,Hartono,Owner & Major Shareholder,Djarum / Bank Central Asia,Indonesia
Michael,Hartono,Co-Owner & Major Shareholder,Djarum / Bank Central Asia,Indonesia
Dewi,Kam,Major Shareholder,PT Bayan Resources / PT Sumbergas Sakti Prima,Indonesia
Bachtiar,Karim,Chairman & CEO,Musim Mas Holdings,Indonesia
Bahari,Karim,Director,Musim Mas Holdings,Indonesia
Burhan,Karim,Director,Musim Mas Holdings,Indonesia
Sri Prakash,Lohia,Founder & Chairman,Indorama Corporation,Indonesia
Kartini,Muljadi,Senior Partner & Major Shareholder,Kartini Muljadi & Rekan / Tempo Scan Pacific,Indonesia
Marty,Natalegawa,Academic & Advisory Roles,Academia / International Organizations,Indonesia
Anindya,Novyan Bakrie,CEO,Bakrie Group,Indonesia
Diono,Nurjadin,President and CEO,PT Cardig International,Indonesia
Cherie,Nursalim,Vice Chairman,GITI Group,Indonesia
Arif,P.Rachmat,Co- Founder and Executive Chairman,Triputra Agro Persada Group,Indonesia
Prajogo,Pangestu,Founder & Chairman,Barito Pacific Group,Indonesia
