full_name,job_title,organization,linkedin_profile,linkedin_source_status
Adekunle Adebiyi,"Executive Director, Investments",MBO Capital,,not_listed_on_source_page
Fope Adelowo,"Head, Fintech and Financial Services",Helios Investment Partners,,not_listed_on_source_page
Wale Adeosun,Founder and Chief Executive Officer,Kuramo Capital Management,,not_listed_on_source_page
Albert Alsina,Founder and Chief Executive Officer,Mediterrania Capital Partners,,not_listed_on_source_page
July Andraous,Managing Partner,Jambaar Capital,,not_listed_on_source_page
Dr. Ajibola Asolo,Partner,Aluko & Oyebode,,not_listed_on_source_page
Hany Assaad,Non-Executive Chairman,Avanz Capital Egypt,,not_listed_on_source_page
Haresh Aswani,Chief Executive,Tolaram,,not_listed_on_source_page
Jennifer Baarn,"Head, Private Sector Partnerships",AGRA,,not_listed_on_source_page
Stéphane Bacquaert,Managing Partner,Adenia,,not_listed_on_source_page
Leo Batalov,"Partner, Co-Head of Emerging Growth Companies and Venture Capital",DLA Piper Africa,,not_listed_on_source_page
Jit Bhattacharya,Co-Founder and Chief Executive Officer,BasiGo,,not_listed_on_source_page
Nouss Bih,Investment Director,Investisseurs & Partenaires,,not_listed_on_source_page
Abel Boreto,Investment Director,Novastar Ventures,,not_listed_on_source_page
Stuart Bradley,Founder and Managing Partner,Phatisa,,not_listed_on_source_page
Dr. Ola Brown,General Partner and Founder,HealthCap Africa,,not_listed_on_source_page
Fatoumata Bâ,Founder and Executive Chair,Janngo Capital,,not_listed_on_source_page
Isabelle Bébéar,"Director and Head, International and European Affairs",Bpifrance,,not_listed_on_source_page
Maurizio Caio,Founder and Managing Partner,TLcom Capital,,not_listed_on_source_page
Shruti Chandrasekhar,"Regional Lead, Africa Private Equity",International Finance Corporation (IFC),,not_listed_on_source_page
Walid Cherif,Co-Founder and Managing Partner,BluePeak Private Capital,,not_listed_on_source_page
Chris Chijiutomi,"Managing Director and Head, Africa",British International Investment,,not_listed_on_source_page
Michelle Chikezie,Partner,G. Elias,,not_listed_on_source_page
Jennifer Chimanga,"Partner and Co-Head, East Africa",Clifford Chance,,not_listed_on_source_page
Chike Chukwuelue,"Head, Equity Investments Institution","Bank of Industry, Nigeria",,not_listed_on_source_page
Nadia Kouassi Coulibaly,Head of Research,AVCA – The African Private Capital Association,,not_listed_on_source_page
Laurent Demey,Co-Founder and Managing Partner,Amethis,,not_listed_on_source_page
Berhane Demissie,Co-Founder and Managing Partner,Cepheus Growth Capital Partners,,not_listed_on_source_page
Mareme Dieng,"Head, Strategy, M&A and Fintech Future",Axian Group,,not_listed_on_source_page
Matthieu Ducorroy,"Head, Equity and Funds Division",European Investment Bank,,not_listed_on_source_page
Tidjane Dème,General Partner,Partech Partners,,not_listed_on_source_page
Mohamed Eissa,"Global Head, Venture Capital and Direct Investments",International Finance Corporation (IFC),,not_listed_on_source_page
Tamer El-Raghy,Managing Director,Acumen Resilient Agriculture Fund,,not_listed_on_source_page
Bowofade Elegbede,Associate Director and Head of Investments,Acumen,,not_listed_on_source_page
Folake Elias-Adebowale,Partner,Udo Udoma & Belo-Osagie,,not_listed_on_source_page
Farid Fezoua,"Director - Equity, Funds and Venture Capital",International Finance Corporation (IFC),,not_listed_on_source_page
Clarisa De Franco,Senior Advisor,Allied Climate Partners,,not_listed_on_source_page
Sissi Frank,Senior Investment Officer,European Investment Bank,,not_listed_on_source_page
Oliver Game,Private Equity and Venture Capital Lead - East Africa,Proparco,,not_listed_on_source_page
Zee de Gersigny,Principal,FSDAi,,not_listed_on_source_page
Wandia Gichuru,Co-Founder and Chief Executive Officer,Vivo Fashion Group,,not_listed_on_source_page
Gerald Gondo,Group Chief Investment Officer,ICEA LION Group,,not_listed_on_source_page
Viloshan Govender,"Portfolio Manager, Investments and Structuring",Gemcorp Capital Management Ltd.,,not_listed_on_source_page
Hisham Halbouny,Managing Partner,P1 Ventures,,not_listed_on_source_page
Lyndsay Handler,Co-Founder and Managing Partner,Delta40,,not_listed_on_source_page
Alicia Harel,"Executive Vice President, Global and International Corporates, Funds",Mauritius Commercial Bank,,not_listed_on_source_page
Simon Harford,Partner and Director,Boston Consulting Group,,not_listed_on_source_page
Gbenga Hassan,Managing Partner,Argentil Capital Management,,not_listed_on_source_page
Philipp Hein,"Director and Head, Private Equity Africa and Global Climate Investments",DEG,,not_listed_on_source_page
Andrea Heinzer,Managing Director,Omnia Impact Advisors,,not_listed_on_source_page
Edmund Higenbottam,Chief Executive Officer,Verdant Capital,,not_listed_on_source_page
Jean-Claude Homawoo,Co-Founder and Chief Executive Officer,Lori Systems,,not_listed_on_source_page
Jessica Hope,Founder and Chief Executive Officer,Wimbart,,not_listed_on_source_page
Grant Howarth,Director and Principal,Metier,,not_listed_on_source_page
'Tokunboh Ishmael,Co-Founder and Managing Director,Alitheia Capital,,not_listed_on_source_page
Cecilia Isohi,Senior Research Analyst,AVCA – The African Private Capital Association,,not_listed_on_source_page
Steve Olisaemeka Iwenjora,Partner,African Capital Alliance,,not_listed_on_source_page
Valentin Janjou,"Investment Officer, Venture Capital",Proparco,,not_listed_on_source_page
Khaled Ben Jilani,Senior Partner,AfricInvest,,not_listed_on_source_page
Aude Juglard,"Head, Finance and Fundraising",Mstudio,,not_listed_on_source_page
Alex Rumanyika Kalimugogo,"Head, Strategy and Performance",National Social Security Fund (Uganda),,not_listed_on_source_page
Jean-Marie Kananura,Chief Investment Officer,Rwanda Finance Limited,,not_listed_on_source_page
Corey Karaka,Investment Principal,Soros Economic Development Fund,,not_listed_on_source_page
Shaka Kariuki,Co-Chief Executive Officer and Chief Investment Officer,Kuramo Capital Management,,not_listed_on_source_page
Aito Kasahara,"Manager, Media and Digital Business Unit",Sumitomo Corporation,,not_listed_on_source_page
Yaw Keteku,"Co-Lead and Fund Manager, ACA Private Credit Fund",African Capital Alliance,,not_listed_on_source_page
Pranav Khamar,Partner and Portfolio Manager,Gemcorp Capital,,not_listed_on_source_page
Evah Kimani,"Chief Executive Officer, Britam Micro Insurance",Britam,,not_listed_on_source_page
Alison Klein,Managing Director,Akmazo,,not_listed_on_source_page
Boris Kodjoe,"Actor, Director, Producer, Investor and Philanthropist",,,not_listed_on_source_page
Chris Kuchanny,Founder and Chief Executive Officer,Impactable Investment Group,,not_listed_on_source_page
Chumani Kula,"Co-Head, Old Mutual Private Equity",Old Mutual Alternative Investments,,not_listed_on_source_page
Raj Kulasingam,Senior Counsel,Dentons,,not_listed_on_source_page
Omar Laalej,Managing Director,Al Mada Ventures,,not_listed_on_source_page
Sofiane Lahmar,Chief Executive Officer,Development Partners International,,not_listed_on_source_page
Marc Lasserre,Managing Partner,S.O. Capital Advice,,not_listed_on_source_page
Olusola Lawson,Managing Director and Co-Head,African Infrastructure Investment Managers,,not_listed_on_source_page
David Lekerai,"Partner, IKM Associates",DLA Piper Africa,,not_listed_on_source_page
Ashley Lewis,"Managing Partner and Head, Venture Capital",DPI Venture Capital,,not_listed_on_source_page
Leslie Maasdorp,Chief Executive Officer,British International Investment,,not_listed_on_source_page
Paul Maasdorp,Managing Director and Partner,Alterra Capital Partners,,not_listed_on_source_page
Christine Maina,Chief Executive Officer,East Africa Venture Capital Association,,not_listed_on_source_page
Mantuka Maisela,Chairperson,Motor Industry Retirement Funds,,not_listed_on_source_page
Daniel Marlo,Managing Partner,4DX Ventures,,not_listed_on_source_page
Joe Mate,Investment Director,British International Investment,,not_listed_on_source_page
Kenneth Mbae,Managing Director,Centum Real Estate,,not_listed_on_source_page
Nyeji Mhango,Founding Partner and Chief Executive Officer,wCap,,not_listed_on_source_page
Chinedu Mofunanya,"Head, Externally Managed Investments",Nigerian Sovereign Investment Authority,,not_listed_on_source_page
Mike Mompi,Co-Founder and Managing Partner,Enza Capital,,not_listed_on_source_page
Jesse Moore,Chief Executive Officer and Co-Founder,M-KOPA,,not_listed_on_source_page
Rachel Moré-Oshodi,Chief Executive Officer and Managing Director,ARM-Harith Infrastructure Investment,,not_listed_on_source_page
Andreata Muforo,Partner,TLcom Capital,,not_listed_on_source_page
Juliet Munro,"Director, Early-Stage Finance",FSD Africa,,not_listed_on_source_page
Makole Mupita,Director and Fund Principal,Mahlako Financial Services,,not_listed_on_source_page
Josphat Muriuki,"Deputy Director, Finance",Central Bank of Kenya,,not_listed_on_source_page
Abi Mustapha-Maduakor,Chief Executive Officer,AVCA – The African Private Capital Association,,not_listed_on_source_page
Dr. James Mwangi,Group Managing Director and Chief Executive Officer,Equity Group Holdings Plc.,,not_listed_on_source_page
Dr Angela Mwenda,"Head, Sustainable Finance Practice",SLR Consulting,,not_listed_on_source_page
Frank Mwiti,Chief Executive Officer,Nairobi Securities Exchange,,not_listed_on_source_page
Esther Ndeti,Managing Partner,Unconventional Capital,,not_listed_on_source_page
Dr. Karimi Ngeera,Finance Director,HEVA Fund,,not_listed_on_source_page
Patrick Kariuki Njoroge,Managing Director,GenAfrica Asset Managers,,not_listed_on_source_page
Dr. Dorothy Nyambi,President and Chief Executive Officer,MEDA (Mennonite Economic Development Associates),,not_listed_on_source_page
Nathaniel Nyika,Chief Investment Officer,Agaciro Development Fund (Rwanda Sovereign Wealth Fund),,not_listed_on_source_page
George Odo,Senior Partner and Managing Director,AfricInvest Capital Partners East and Southern Africa,,not_listed_on_source_page
Wale Odusanya,"Partner, Investment Team",Verod,,not_listed_on_source_page
Opuiyo Oforiokuma,Senior Partner,Africa50 Infrastructure Acceleration Fund,,not_listed_on_source_page
Yvonne Ofosu-Appiah,Co-Founder and Managing Partner,Sahara Impact Ventures,,not_listed_on_source_page
Adefolarin Ogunsanya,"Partner, Investment",Development Partners International,,not_listed_on_source_page
Tosin Ojo,Partner,Sahel Capital,,not_listed_on_source_page
Richard Okello,Co-Founder and Partner,Sango Capital,,not_listed_on_source_page
Ory Okolloh,Partner,Verod-Kepple Africa Ventures,,not_listed_on_source_page
Funke Okubadejo,Managing Partner,Grene Capital,,not_listed_on_source_page
Rui Oliveira,Chief Executive Officer and Co-Chief Investment Officer,BFA Asset Management,,not_listed_on_source_page
Ogugua Osakwe-Adegbite,"Head, M&A, Exits and Strategic Partnerships",Partech Africa,,not_listed_on_source_page
Martha Osier,Partner,Adenia,,not_listed_on_source_page
David Owino,Founder and Managing Partner,Ascent,,not_listed_on_source_page
Sérgio Pimenta,Chief Executive Officer,Africa50 Infrastructure Acceleration Fund,,not_listed_on_source_page
Samantha Pokroy,Founder and Chief Executive Officer,Sanari Capital,,not_listed_on_source_page
Patricia Rinke,Investment Director,AfricInvest,,not_listed_on_source_page
Pierre Celestin Rwabukumba,President and Chief Executive Officer,Rwanda Stock Exchange,,not_listed_on_source_page
Lisa Rümelin,Founder and Managing Partner,Betula Partners Limited,,not_listed_on_source_page
Ibrahim Sagna,Executive Chairman,Silverbacks Holdings,,not_listed_on_source_page
Babacar Seck,Managing Partner,Askya Investment Partners,,not_listed_on_source_page
Sapna Shah,Partner,Novastar Ventures,,not_listed_on_source_page
Aliya Farah Shariff,Senior Director,Mastercard Foundation,,not_listed_on_source_page
Ravi Sharma,Partner,Lightrock,,not_listed_on_source_page
Saad Sheikh,Partner,Enko Capital,,not_listed_on_source_page
Abishkar Shrestha,"Head, Investments",Visa Foundation,,not_listed_on_source_page
Angela Simpson,Partner,Bowmans,,not_listed_on_source_page
Barthout van Slingelandt,Managing Partner,XSML Capital,,not_listed_on_source_page
Daniel Sodimu,Research Associate,AVCA – The African Private Capital Association,,not_listed_on_source_page
Shirley Somuah,Partner,CardinalStone Capital Advisers,,not_listed_on_source_page
Hany Al Sonbaty,Managing Partner,Sawari Ventures,,not_listed_on_source_page
Kunle Soyibo,Partner,"Jackson, Etti & Edu",,not_listed_on_source_page
Azamat Sultan,Co-Founder and Chief Executive Officer,GoCab,,not_listed_on_source_page
Ethiopis Tafara,"Regional Vice President, Africa",International Finance Corporation (IFC),,not_listed_on_source_page
Kento Tanaka,"Representative, Kenya Office",Japan International Cooperation Agency,,not_listed_on_source_page
Sara Taylor,"Director and Head, Private Equity Funds and Co-Investments",British International Investment,,not_listed_on_source_page
Geetha Tharmaratnam,"Senior Advisor, Investments",Toloram,,not_listed_on_source_page
Joris Totté,Chief Executive Officer,Belgian Investment Company for Developing Countries,,not_listed_on_source_page
Nina Triantis,"Head, Global Sponsor Coverage, Client Coverage CIB; Vice Chair, TMT",Standard Bank Group,,not_listed_on_source_page
Charles Tryon,Director and Chief Executive,Maris Limited,,not_listed_on_source_page
Danladi Verheijen,Managing Partner,Verod,,not_listed_on_source_page
Nicholas Vickery,"Global Head, Private Equity Funds",International Finance Corporation (IFC),,not_listed_on_source_page
Njeri Wagacha,"Partner, Corporate and Commercial and Co-Head, Industrials, Trade and Manufacturing",Cliffe Dekker Hofmeyr incorporating Kieti Law LLP (CDH),,not_listed_on_source_page
Joyce-Ann Wainaina,Managing Partner,Chui Ventures,,not_listed_on_source_page
Michele Wanjiku Wainaina,Africa Regional Head,Endeavor Catalyst,,not_listed_on_source_page
Nigel Wellings,"Partner, Private Capital and Co-Head, European Corporate Practice",Clifford Chance,,not_listed_on_source_page
Dirk Werner,"Managing Director, Equity",European Bank for Reconstruction and Development,,not_listed_on_source_page
Rosanne Whalley,Chief Executive Officer,AHL Venture Partners,,not_listed_on_source_page
Guy Willner,"Managing Director, Digital Infrastructure",Helios Investment Partners,,not_listed_on_source_page
Ann Wyman,Executive Partner,AfricInvest,,not_listed_on_source_page
Joanne Yoo,Partner,Development Partners International,,not_listed_on_source_page
