full_name,job_title,organization,linkedin_profile,confidence,match_score,candidates_considered,lookup_status,lookup_query,lookup_note
Adekunle Adebiyi,"Executive Director, Investments",MBO Capital,https://www.linkedin.com/pub/dir/adekunle/adebiyi,Medium,4,42,found_likely_profile,Adekunle Adebiyi MBO Capital LinkedIn,
Fope Adelowo,"Head, Fintech and Financial Services",Helios Investment Partners,,,,41,not_found,Fope Adelowo Helios Investment Partners LinkedIn,
Wale Adeosun,Founder and Chief Executive Officer,Kuramo Capital Management,,,,42,not_found,Wale Adeosun Kuramo Capital Management LinkedIn,
Albert Alsina,Founder and Chief Executive Officer,Mediterrania Capital Partners,,,,40,not_found,Albert Alsina Mediterrania Capital Partners LinkedIn,
July Andraous,Managing Partner,Jambaar Capital,https://sn.linkedin.com/in/july-andraous,High,6,42,found_likely_profile,July Andraous LinkedIn,
Dr. Ajibola Asolo,Partner,Aluko & Oyebode,,,,68,not_found,Dr. Ajibola Asolo Aluko & Oyebode LinkedIn,
Hany Assaad,Non-Executive Chairman,Avanz Capital Egypt,,,,40,not_found,Hany Assaad Avanz Capital Egypt LinkedIn,
Haresh Aswani,Chief Executive,Tolaram,,,,20,not_found,Haresh Aswani Tolaram LinkedIn,
Jennifer Baarn,"Head, Private Sector Partnerships",AGRA,,,,24,not_found,Jennifer Baarn AGRA LinkedIn,
Stéphane Bacquaert,Managing Partner,Adenia,,,,20,not_found,Stéphane Bacquaert Adenia LinkedIn,status_429
Leo Batalov,"Partner, Co-Head of Emerging Growth Companies and Venture Capital",DLA Piper Africa,,,,0,not_found,Leo Batalov DLA Piper Africa LinkedIn,status_429
Jit Bhattacharya,Co-Founder and Chief Executive Officer,BasiGo,,,,0,not_found,Jit Bhattacharya BasiGo LinkedIn,status_429
Nouss Bih,Investment Director,Investisseurs & Partenaires,,,,0,not_found,Nouss Bih Investisseurs & Partenaires LinkedIn,status_429
Abel Boreto,Investment Director,Novastar Ventures,,,,0,not_found,Abel Boreto Novastar Ventures LinkedIn,status_429
Stuart Bradley,Founder and Managing Partner,Phatisa,,,,0,not_found,Stuart Bradley Phatisa LinkedIn,status_429
Dr. Ola Brown,General Partner and Founder,HealthCap Africa,,,,0,not_found,Dr. Ola Brown HealthCap Africa LinkedIn,status_429
Fatoumata Bâ,Founder and Executive Chair,Janngo Capital,,,,0,not_found,Fatoumata Bâ Janngo Capital LinkedIn,status_429
Isabelle Bébéar,"Director and Head, International and European Affairs",Bpifrance,,,,0,not_found,Isabelle Bébéar Bpifrance LinkedIn,status_429
Maurizio Caio,Founder and Managing Partner,TLcom Capital,,,,0,not_found,Maurizio Caio TLcom Capital LinkedIn,status_429
Shruti Chandrasekhar,"Regional Lead, Africa Private Equity",International Finance Corporation (IFC),,,,0,not_found,Shruti Chandrasekhar International Finance Corporation (IFC) LinkedIn,status_429
Walid Cherif,Co-Founder and Managing Partner,BluePeak Private Capital,,,,0,not_found,Walid Cherif BluePeak Private Capital LinkedIn,status_429
Chris Chijiutomi,"Managing Director and Head, Africa",British International Investment,,,,0,not_found,Chris Chijiutomi British International Investment LinkedIn,status_429
Michelle Chikezie,Partner,G. Elias,,,,0,not_found,Michelle Chikezie G. Elias LinkedIn,status_429
Jennifer Chimanga,"Partner and Co-Head, East Africa",Clifford Chance,,,,0,not_found,Jennifer Chimanga Clifford Chance LinkedIn,status_429
Chike Chukwuelue,"Head, Equity Investments Institution","Bank of Industry, Nigeria",,,,0,not_found,"Chike Chukwuelue Bank of Industry, Nigeria LinkedIn",status_429
Nadia Kouassi Coulibaly,Head of Research,AVCA – The African Private Capital Association,,,,0,not_found,Nadia Kouassi Coulibaly AVCA – The African Private Capital Association LinkedIn,status_429
Laurent Demey,Co-Founder and Managing Partner,Amethis,,,,0,not_found,Laurent Demey Amethis LinkedIn,status_429
Berhane Demissie,Co-Founder and Managing Partner,Cepheus Growth Capital Partners,,,,0,not_found,Berhane Demissie Cepheus Growth Capital Partners LinkedIn,status_429
Mareme Dieng,"Head, Strategy, M&A and Fintech Future",Axian Group,,,,0,not_found,Mareme Dieng Axian Group LinkedIn,status_429
Matthieu Ducorroy,"Head, Equity and Funds Division",European Investment Bank,,,,0,not_found,Matthieu Ducorroy European Investment Bank LinkedIn,status_429
Tidjane Dème,General Partner,Partech Partners,,,,0,not_found,Tidjane Dème Partech Partners LinkedIn,status_429
Mohamed Eissa,"Global Head, Venture Capital and Direct Investments",International Finance Corporation (IFC),,,,0,not_found,Mohamed Eissa International Finance Corporation (IFC) LinkedIn,status_429
Tamer El-Raghy,Managing Director,Acumen Resilient Agriculture Fund,,,,0,not_found,Tamer El-Raghy Acumen Resilient Agriculture Fund LinkedIn,status_429
Bowofade Elegbede,Associate Director and Head of Investments,Acumen,,,,0,not_found,Bowofade Elegbede Acumen LinkedIn,status_429
Folake Elias-Adebowale,Partner,Udo Udoma & Belo-Osagie,,,,0,not_found,Folake Elias-Adebowale Udo Udoma & Belo-Osagie LinkedIn,status_429
Farid Fezoua,"Director - Equity, Funds and Venture Capital",International Finance Corporation (IFC),,,,0,not_found,Farid Fezoua International Finance Corporation (IFC) LinkedIn,status_429
Clarisa De Franco,Senior Advisor,Allied Climate Partners,,,,0,not_found,Clarisa De Franco Allied Climate Partners LinkedIn,status_429
Sissi Frank,Senior Investment Officer,European Investment Bank,,,,0,not_found,Sissi Frank European Investment Bank LinkedIn,status_429
Oliver Game,Private Equity and Venture Capital Lead - East Africa,Proparco,,,,0,not_found,Oliver Game Proparco LinkedIn,status_429
Zee de Gersigny,Principal,FSDAi,,,,0,not_found,Zee de Gersigny FSDAi LinkedIn,status_429
Wandia Gichuru,Co-Founder and Chief Executive Officer,Vivo Fashion Group,,,,0,not_found,Wandia Gichuru Vivo Fashion Group LinkedIn,status_429
Gerald Gondo,Group Chief Investment Officer,ICEA LION Group,,,,0,not_found,Gerald Gondo ICEA LION Group LinkedIn,status_429
Viloshan Govender,"Portfolio Manager, Investments and Structuring",Gemcorp Capital Management Ltd.,,,,0,not_found,Viloshan Govender Gemcorp Capital Management Ltd. LinkedIn,status_429
Hisham Halbouny,Managing Partner,P1 Ventures,,,,0,not_found,Hisham Halbouny P1 Ventures LinkedIn,status_429
Lyndsay Handler,Co-Founder and Managing Partner,Delta40,,,,0,not_found,Lyndsay Handler Delta40 LinkedIn,status_429
Alicia Harel,"Executive Vice President, Global and International Corporates, Funds",Mauritius Commercial Bank,,,,0,not_found,Alicia Harel Mauritius Commercial Bank LinkedIn,status_429
Simon Harford,Partner and Director,Boston Consulting Group,,,,0,not_found,Simon Harford Boston Consulting Group LinkedIn,status_429
Gbenga Hassan,Managing Partner,Argentil Capital Management,,,,0,not_found,Gbenga Hassan Argentil Capital Management LinkedIn,status_429
Philipp Hein,"Director and Head, Private Equity Africa and Global Climate Investments",DEG,,,,0,not_found,Philipp Hein DEG LinkedIn,status_429
Andrea Heinzer,Managing Director,Omnia Impact Advisors,https://ch.linkedin.com/in/andrea-heinzer-7b12665,High,6,26,found_likely_profile,Andrea Heinzer LinkedIn,status_429
Edmund Higenbottam,Chief Executive Officer,Verdant Capital,,,,0,not_found,Edmund Higenbottam Verdant Capital LinkedIn,status_429
Jean-Claude Homawoo,Co-Founder and Chief Executive Officer,Lori Systems,,,,0,not_found,Jean-Claude Homawoo Lori Systems LinkedIn,status_429
Jessica Hope,Founder and Chief Executive Officer,Wimbart,,,,0,not_found,Jessica Hope Wimbart LinkedIn,status_429
Grant Howarth,Director and Principal,Metier,,,,0,not_found,Grant Howarth Metier LinkedIn,status_429
'Tokunboh Ishmael,Co-Founder and Managing Director,Alitheia Capital,,,,0,not_found,'Tokunboh Ishmael Alitheia Capital LinkedIn,status_429
Cecilia Isohi,Senior Research Analyst,AVCA – The African Private Capital Association,,,,0,not_found,Cecilia Isohi AVCA – The African Private Capital Association LinkedIn,status_429
Steve Olisaemeka Iwenjora,Partner,African Capital Alliance,,,,0,not_found,Steve Olisaemeka Iwenjora African Capital Alliance LinkedIn,status_429
Valentin Janjou,"Investment Officer, Venture Capital",Proparco,,,,0,not_found,Valentin Janjou Proparco LinkedIn,status_429
Khaled Ben Jilani,Senior Partner,AfricInvest,,,,0,not_found,Khaled Ben Jilani AfricInvest LinkedIn,status_429
Aude Juglard,"Head, Finance and Fundraising",Mstudio,,,,0,not_found,Aude Juglard Mstudio LinkedIn,status_429
Alex Rumanyika Kalimugogo,"Head, Strategy and Performance",National Social Security Fund (Uganda),,,,0,not_found,Alex Rumanyika Kalimugogo National Social Security Fund (Uganda) LinkedIn,status_429
Jean-Marie Kananura,Chief Investment Officer,Rwanda Finance Limited,,,,0,not_found,Jean-Marie Kananura Rwanda Finance Limited LinkedIn,status_429
Corey Karaka,Investment Principal,Soros Economic Development Fund,,,,0,not_found,Corey Karaka Soros Economic Development Fund LinkedIn,status_429
Shaka Kariuki,Co-Chief Executive Officer and Chief Investment Officer,Kuramo Capital Management,,,,0,not_found,Shaka Kariuki Kuramo Capital Management LinkedIn,status_429
Aito Kasahara,"Manager, Media and Digital Business Unit",Sumitomo Corporation,,,,0,not_found,Aito Kasahara Sumitomo Corporation LinkedIn,status_429
Yaw Keteku,"Co-Lead and Fund Manager, ACA Private Credit Fund",African Capital Alliance,,,,0,not_found,Yaw Keteku African Capital Alliance LinkedIn,status_429
Pranav Khamar,Partner and Portfolio Manager,Gemcorp Capital,,,,0,not_found,Pranav Khamar Gemcorp Capital LinkedIn,status_429
Evah Kimani,"Chief Executive Officer, Britam Micro Insurance",Britam,,,,0,not_found,Evah Kimani Britam LinkedIn,status_429
Alison Klein,Managing Director,Akmazo,,,,0,not_found,Alison Klein Akmazo LinkedIn,status_429
Boris Kodjoe,"Actor, Director, Producer, Investor and Philanthropist",,,,,0,not_found,Boris Kodjoe  LinkedIn,status_429
Chris Kuchanny,Founder and Chief Executive Officer,Impactable Investment Group,,,,0,not_found,Chris Kuchanny Impactable Investment Group LinkedIn,status_429
Chumani Kula,"Co-Head, Old Mutual Private Equity",Old Mutual Alternative Investments,,,,0,not_found,Chumani Kula Old Mutual Alternative Investments LinkedIn,status_429
Raj Kulasingam,Senior Counsel,Dentons,,,,0,not_found,Raj Kulasingam Dentons LinkedIn,status_429
Omar Laalej,Managing Director,Al Mada Ventures,,,,0,not_found,Omar Laalej Al Mada Ventures LinkedIn,status_429
Sofiane Lahmar,Chief Executive Officer,Development Partners International,,,,0,not_found,Sofiane Lahmar Development Partners International LinkedIn,status_429
Marc Lasserre,Managing Partner,S.O. Capital Advice,,,,0,not_found,Marc Lasserre S.O. Capital Advice LinkedIn,status_429
Olusola Lawson,Managing Director and Co-Head,African Infrastructure Investment Managers,,,,0,not_found,Olusola Lawson African Infrastructure Investment Managers LinkedIn,status_429
David Lekerai,"Partner, IKM Associates",DLA Piper Africa,,,,0,not_found,David Lekerai DLA Piper Africa LinkedIn,status_429
Ashley Lewis,"Managing Partner and Head, Venture Capital",DPI Venture Capital,,,,0,not_found,Ashley Lewis DPI Venture Capital LinkedIn,status_429
Leslie Maasdorp,Chief Executive Officer,British International Investment,,,,0,not_found,Leslie Maasdorp British International Investment LinkedIn,status_429
Paul Maasdorp,Managing Director and Partner,Alterra Capital Partners,,,,0,not_found,Paul Maasdorp Alterra Capital Partners LinkedIn,status_429
Christine Maina,Chief Executive Officer,East Africa Venture Capital Association,,,,0,not_found,Christine Maina East Africa Venture Capital Association LinkedIn,status_429
Mantuka Maisela,Chairperson,Motor Industry Retirement Funds,,,,0,not_found,Mantuka Maisela Motor Industry Retirement Funds LinkedIn,status_429
Daniel Marlo,Managing Partner,4DX Ventures,,,,0,not_found,Daniel Marlo 4DX Ventures LinkedIn,status_429
Joe Mate,Investment Director,British International Investment,,,,0,not_found,Joe Mate British International Investment LinkedIn,status_429
Kenneth Mbae,Managing Director,Centum Real Estate,,,,0,not_found,Kenneth Mbae Centum Real Estate LinkedIn,status_429
Nyeji Mhango,Founding Partner and Chief Executive Officer,wCap,,,,0,not_found,Nyeji Mhango wCap LinkedIn,status_429
Chinedu Mofunanya,"Head, Externally Managed Investments",Nigerian Sovereign Investment Authority,,,,0,not_found,Chinedu Mofunanya Nigerian Sovereign Investment Authority LinkedIn,status_429
Mike Mompi,Co-Founder and Managing Partner,Enza Capital,,,,0,not_found,Mike Mompi Enza Capital LinkedIn,status_429
Jesse Moore,Chief Executive Officer and Co-Founder,M-KOPA,,,,0,not_found,Jesse Moore M-KOPA LinkedIn,status_429
Rachel Moré-Oshodi,Chief Executive Officer and Managing Director,ARM-Harith Infrastructure Investment,,,,0,not_found,Rachel Moré-Oshodi ARM-Harith Infrastructure Investment LinkedIn,status_429
Andreata Muforo,Partner,TLcom Capital,,,,0,not_found,Andreata Muforo TLcom Capital LinkedIn,status_429
Juliet Munro,"Director, Early-Stage Finance",FSD Africa,,,,0,not_found,Juliet Munro FSD Africa LinkedIn,status_429
Makole Mupita,Director and Fund Principal,Mahlako Financial Services,,,,0,not_found,Makole Mupita Mahlako Financial Services LinkedIn,status_429
Josphat Muriuki,"Deputy Director, Finance",Central Bank of Kenya,,,,0,not_found,Josphat Muriuki Central Bank of Kenya LinkedIn,status_429
Abi Mustapha-Maduakor,Chief Executive Officer,AVCA – The African Private Capital Association,,,,0,not_found,Abi Mustapha-Maduakor AVCA – The African Private Capital Association LinkedIn,status_429
Dr. James Mwangi,Group Managing Director and Chief Executive Officer,Equity Group Holdings Plc.,,,,0,not_found,Dr. James Mwangi Equity Group Holdings Plc. LinkedIn,status_429
Dr Angela Mwenda,"Head, Sustainable Finance Practice",SLR Consulting,,,,0,not_found,Dr Angela Mwenda SLR Consulting LinkedIn,status_429
Frank Mwiti,Chief Executive Officer,Nairobi Securities Exchange,,,,0,not_found,Frank Mwiti Nairobi Securities Exchange LinkedIn,status_429
Esther Ndeti,Managing Partner,Unconventional Capital,,,,0,not_found,Esther Ndeti Unconventional Capital LinkedIn,status_429
Dr. Karimi Ngeera,Finance Director,HEVA Fund,,,,0,not_found,Dr. Karimi Ngeera HEVA Fund LinkedIn,status_429
Patrick Kariuki Njoroge,Managing Director,GenAfrica Asset Managers,,,,0,not_found,Patrick Kariuki Njoroge GenAfrica Asset Managers LinkedIn,status_429
Dr. Dorothy Nyambi,President and Chief Executive Officer,MEDA (Mennonite Economic Development Associates),,,,0,not_found,Dr. Dorothy Nyambi MEDA (Mennonite Economic Development Associates) LinkedIn,status_429
Nathaniel Nyika,Chief Investment Officer,Agaciro Development Fund (Rwanda Sovereign Wealth Fund),,,,0,not_found,Nathaniel Nyika Agaciro Development Fund (Rwanda Sovereign Wealth Fund) LinkedIn,status_429
George Odo,Senior Partner and Managing Director,AfricInvest Capital Partners East and Southern Africa,,,,0,not_found,George Odo AfricInvest Capital Partners East and Southern Africa LinkedIn,status_429
Wale Odusanya,"Partner, Investment Team",Verod,,,,0,not_found,Wale Odusanya Verod LinkedIn,status_429
Opuiyo Oforiokuma,Senior Partner,Africa50 Infrastructure Acceleration Fund,,,,0,not_found,Opuiyo Oforiokuma Africa50 Infrastructure Acceleration Fund LinkedIn,status_429
Yvonne Ofosu-Appiah,Co-Founder and Managing Partner,Sahara Impact Ventures,,,,0,not_found,Yvonne Ofosu-Appiah Sahara Impact Ventures LinkedIn,status_429
Adefolarin Ogunsanya,"Partner, Investment",Development Partners International,,,,0,not_found,Adefolarin Ogunsanya Development Partners International LinkedIn,status_429
Tosin Ojo,Partner,Sahel Capital,,,,0,not_found,Tosin Ojo Sahel Capital LinkedIn,status_429
Richard Okello,Co-Founder and Partner,Sango Capital,,,,0,not_found,Richard Okello Sango Capital LinkedIn,status_429
Ory Okolloh,Partner,Verod-Kepple Africa Ventures,,,,0,not_found,Ory Okolloh Verod-Kepple Africa Ventures LinkedIn,status_429
Funke Okubadejo,Managing Partner,Grene Capital,,,,0,not_found,Funke Okubadejo Grene Capital LinkedIn,status_429
Rui Oliveira,Chief Executive Officer and Co-Chief Investment Officer,BFA Asset Management,,,,0,not_found,Rui Oliveira BFA Asset Management LinkedIn,status_429
Ogugua Osakwe-Adegbite,"Head, M&A, Exits and Strategic Partnerships",Partech Africa,,,,0,not_found,Ogugua Osakwe-Adegbite Partech Africa LinkedIn,status_429
Martha Osier,Partner,Adenia,,,,0,not_found,Martha Osier Adenia LinkedIn,status_429
David Owino,Founder and Managing Partner,Ascent,,,,0,not_found,David Owino Ascent LinkedIn,status_429
Sérgio Pimenta,Chief Executive Officer,Africa50 Infrastructure Acceleration Fund,,,,0,not_found,Sérgio Pimenta Africa50 Infrastructure Acceleration Fund LinkedIn,status_429
Samantha Pokroy,Founder and Chief Executive Officer,Sanari Capital,,,,0,not_found,Samantha Pokroy Sanari Capital LinkedIn,status_429
Patricia Rinke,Investment Director,AfricInvest,https://www.linkedin.com/in/patricia-rinke-a6144468,High,6,45,found_likely_profile,Patricia Rinke LinkedIn,
Pierre Celestin Rwabukumba,President and Chief Executive Officer,Rwanda Stock Exchange,,,,30,not_found,Pierre Celestin Rwabukumba Rwanda Stock Exchange LinkedIn,
Lisa Rümelin,Founder and Managing Partner,Betula Partners Limited,,,,42,not_found,Lisa Rümelin Betula Partners Limited LinkedIn,
Ibrahim Sagna,Executive Chairman,Silverbacks Holdings,,,,31,not_found,Ibrahim Sagna Silverbacks Holdings LinkedIn,
Babacar Seck,Managing Partner,Askya Investment Partners,,,,40,not_found,Babacar Seck Askya Investment Partners LinkedIn,
Sapna Shah,Partner,Novastar Ventures,,,,30,not_found,Sapna Shah Novastar Ventures LinkedIn,
Aliya Farah Shariff,Senior Director,Mastercard Foundation,,,,30,not_found,Aliya Farah Shariff Mastercard Foundation LinkedIn,
Ravi Sharma,Partner,Lightrock,https://www.linkedin.com/in/ravi-sharma24,High,6,63,found_likely_profile,Ravi Sharma LinkedIn,
Saad Sheikh,Partner,Enko Capital,,,,20,not_found,Saad Sheikh Enko Capital LinkedIn,
Abishkar Shrestha,"Head, Investments",Visa Foundation,,,,33,not_found,Abishkar Shrestha Visa Foundation LinkedIn,
Angela Simpson,Partner,Bowmans,,,,0,not_found,Angela Simpson Bowmans LinkedIn,status_429
Barthout van Slingelandt,Managing Partner,XSML Capital,,,,0,not_found,Barthout van Slingelandt XSML Capital LinkedIn,status_429
Daniel Sodimu,Research Associate,AVCA – The African Private Capital Association,,,,0,not_found,Daniel Sodimu AVCA – The African Private Capital Association LinkedIn,status_429
Shirley Somuah,Partner,CardinalStone Capital Advisers,,,,0,not_found,Shirley Somuah CardinalStone Capital Advisers LinkedIn,status_429
Hany Al Sonbaty,Managing Partner,Sawari Ventures,,,,0,not_found,Hany Al Sonbaty Sawari Ventures LinkedIn,status_429
Kunle Soyibo,Partner,"Jackson, Etti & Edu",,,,0,not_found,"Kunle Soyibo Jackson, Etti & Edu LinkedIn",status_429
Azamat Sultan,Co-Founder and Chief Executive Officer,GoCab,,,,0,not_found,Azamat Sultan GoCab LinkedIn,status_429
Ethiopis Tafara,"Regional Vice President, Africa",International Finance Corporation (IFC),,,,0,not_found,Ethiopis Tafara International Finance Corporation (IFC) LinkedIn,status_429
Kento Tanaka,"Representative, Kenya Office",Japan International Cooperation Agency,,,,0,not_found,Kento Tanaka Japan International Cooperation Agency LinkedIn,status_429
Sara Taylor,"Director and Head, Private Equity Funds and Co-Investments",British International Investment,,,,0,not_found,Sara Taylor British International Investment LinkedIn,status_429
Geetha Tharmaratnam,"Senior Advisor, Investments",Toloram,,,,0,not_found,Geetha Tharmaratnam Toloram LinkedIn,status_429
Joris Totté,Chief Executive Officer,Belgian Investment Company for Developing Countries,,,,0,not_found,Joris Totté Belgian Investment Company for Developing Countries LinkedIn,status_429
Nina Triantis,"Head, Global Sponsor Coverage, Client Coverage CIB; Vice Chair, TMT",Standard Bank Group,,,,0,not_found,Nina Triantis Standard Bank Group LinkedIn,status_429
Charles Tryon,Director and Chief Executive,Maris Limited,,,,0,not_found,Charles Tryon Maris Limited LinkedIn,status_429
Danladi Verheijen,Managing Partner,Verod,,,,0,not_found,Danladi Verheijen Verod LinkedIn,status_429
Nicholas Vickery,"Global Head, Private Equity Funds",International Finance Corporation (IFC),,,,0,not_found,Nicholas Vickery International Finance Corporation (IFC) LinkedIn,status_429
