full_name,job_title,organization,lookup_query,lookup_status,lookup_note
Fope Adelowo,"Head, Fintech and Financial Services",Helios Investment Partners,Fope Adelowo Helios Investment Partners LinkedIn,not_found,
Wale Adeosun,Founder and Chief Executive Officer,Kuramo Capital Management,Wale Adeosun Kuramo Capital Management LinkedIn,not_found,
Albert Alsina,Founder and Chief Executive Officer,Mediterrania Capital Partners,Albert Alsina Mediterrania Capital Partners LinkedIn,not_found,
Dr. Ajibola Asolo,Partner,Aluko & Oyebode,Dr. Ajibola Asolo Aluko & Oyebode LinkedIn,not_found,
Hany Assaad,Non-Executive Chairman,Avanz Capital Egypt,Hany Assaad Avanz Capital Egypt LinkedIn,not_found,
Haresh Aswani,Chief Executive,Tolaram,Haresh Aswani Tolaram LinkedIn,not_found,
Jennifer Baarn,"Head, Private Sector Partnerships",AGRA,Jennifer Baarn AGRA LinkedIn,not_found,
Stéphane Bacquaert,Managing Partner,Adenia,Stéphane Bacquaert Adenia LinkedIn,not_found,status_429
Leo Batalov,"Partner, Co-Head of Emerging Growth Companies and Venture Capital",DLA Piper Africa,Leo Batalov DLA Piper Africa LinkedIn,not_found,status_429
Jit Bhattacharya,Co-Founder and Chief Executive Officer,BasiGo,Jit Bhattacharya BasiGo LinkedIn,not_found,status_429
Nouss Bih,Investment Director,Investisseurs & Partenaires,Nouss Bih Investisseurs & Partenaires LinkedIn,not_found,status_429
Abel Boreto,Investment Director,Novastar Ventures,Abel Boreto Novastar Ventures LinkedIn,not_found,status_429
Stuart Bradley,Founder and Managing Partner,Phatisa,Stuart Bradley Phatisa LinkedIn,not_found,status_429
Dr. Ola Brown,General Partner and Founder,HealthCap Africa,Dr. Ola Brown HealthCap Africa LinkedIn,not_found,status_429
Fatoumata Bâ,Founder and Executive Chair,Janngo Capital,Fatoumata Bâ Janngo Capital LinkedIn,not_found,status_429
Isabelle Bébéar,"Director and Head, International and European Affairs",Bpifrance,Isabelle Bébéar Bpifrance LinkedIn,not_found,status_429
Maurizio Caio,Founder and Managing Partner,TLcom Capital,Maurizio Caio TLcom Capital LinkedIn,not_found,status_429
Shruti Chandrasekhar,"Regional Lead, Africa Private Equity",International Finance Corporation (IFC),Shruti Chandrasekhar International Finance Corporation (IFC) LinkedIn,not_found,status_429
Walid Cherif,Co-Founder and Managing Partner,BluePeak Private Capital,Walid Cherif BluePeak Private Capital LinkedIn,not_found,status_429
Chris Chijiutomi,"Managing Director and Head, Africa",British International Investment,Chris Chijiutomi British International Investment LinkedIn,not_found,status_429
Michelle Chikezie,Partner,G. Elias,Michelle Chikezie G. Elias LinkedIn,not_found,status_429
Jennifer Chimanga,"Partner and Co-Head, East Africa",Clifford Chance,Jennifer Chimanga Clifford Chance LinkedIn,not_found,status_429
Chike Chukwuelue,"Head, Equity Investments Institution","Bank of Industry, Nigeria","Chike Chukwuelue Bank of Industry, Nigeria LinkedIn",not_found,status_429
Nadia Kouassi Coulibaly,Head of Research,AVCA – The African Private Capital Association,Nadia Kouassi Coulibaly AVCA – The African Private Capital Association LinkedIn,not_found,status_429
Laurent Demey,Co-Founder and Managing Partner,Amethis,Laurent Demey Amethis LinkedIn,not_found,status_429
Berhane Demissie,Co-Founder and Managing Partner,Cepheus Growth Capital Partners,Berhane Demissie Cepheus Growth Capital Partners LinkedIn,not_found,status_429
Mareme Dieng,"Head, Strategy, M&A and Fintech Future",Axian Group,Mareme Dieng Axian Group LinkedIn,not_found,status_429
Matthieu Ducorroy,"Head, Equity and Funds Division",European Investment Bank,Matthieu Ducorroy European Investment Bank LinkedIn,not_found,status_429
Tidjane Dème,General Partner,Partech Partners,Tidjane Dème Partech Partners LinkedIn,not_found,status_429
Mohamed Eissa,"Global Head, Venture Capital and Direct Investments",International Finance Corporation (IFC),Mohamed Eissa International Finance Corporation (IFC) LinkedIn,not_found,status_429
Tamer El-Raghy,Managing Director,Acumen Resilient Agriculture Fund,Tamer El-Raghy Acumen Resilient Agriculture Fund LinkedIn,not_found,status_429
